2000 1
999389891 924955261
877160495 418860861 5816148
539678125 386307688 1023683
233934861 582249721 7007193
791030943 396341717 6746226
533730215 387026711 1173092
696055101 160609528 7927680
801573356 122851620 469976
935640325 538528246 4708257
954363094 315419918 410511
915329300 810840489 132685
865689357 677886054 1078486
17908500 759006543 4652022
838216588 168136426 7693957
560132731 28469432 4796277
693869426 227489601 4874562
783369836 156896311 8731157
228422403 248013949 7561383
956575967 71712022 389197
47616816 412169253 7477602
167926844 282703941 4070950
337793134 141206519 2335702
368810678 36682414 6402445
445740873 670059291 6635363
624797586 225497403 5576358
754855328 853239492 7593387
711256570 752895593 6759628
123213246 149458017 21898
274884972 313452941 7318249
791539074 287782425 6603975
324715259 21599812 7323010
94124856 764853395 1910682
453480150 635260270 10658774
181728169 123325923 4318947
422600239 879992600 5079185
540404118 285759083 5671981
671370959 490443672 6938800
953861693 654649240 6954802
313603949 461593430 127028
773846225 865780904 3469997
229160780 484887362 5627851
725466246 620865086 3482357
930670175 372658489 4967246
360976809 104810357 1021648
800255991 226714587 1939326
689202383 484396963 434626
194915268 821666512 6848878
609234684 77726502 8353480
675565643 349127905 3963280
232206471 874219299 1903236
165937283 38713346 6217652
789169916 260836203 6118978
879697543 379498162 8178677
923635995 704369887 3577858
12275213 885369281 1135973
129481500 130955517 2864235
746939295 443649300 363881
613153829 691497206 2275338
565680134 714619002 7008885
937270113 15134631 4907274
369645127 522905176 5520561
262932527 34489237 3822392
472060168 856914017 3916476
286272787 18997913 4541449
380767482 804878998 1804658
358661256 85103437 6077374
808941216 261634427 1542632
661176165 841959916 6575632
215327832 706772439 1741176
310971391 92144168 5714821
588068119 731599233 6647256
810993520 449726466 818578
704772775 884338297 7931938
605404207 333691140 4989034
70214974 787473576 4636929
964035095 793066217 4918064
121114030 363682233 6338808
163636222 446618613 2432949
146082903 445633255 8349744
891841242 113934235 7541008
307909204 902097898 1775799
56844930 465816184 9341952
452048225 412238903 4231689
597134869 550244372 5354806
343215166 102946885 2304771
480127622 76667517 2772243
478447414 625273094 5072146
978107035 621805452 3861013
232137177 886736661 3223432
677263926 149269809 2173476
737335047 868066353 8081081
492316243 304925572 153397
436823580 549883289 1749548
700823588 209301017 3391334
693562143 715832530 6511107
819379037 790161504 6239019
618174413 428110837 900739
324112542 541009436 7895400
983464679 564485613 3614453
477988632 285458775 1835903
935295925 759316979 2317557
574250287 347166303 335586
857161629 76305383 5267444
517074800 628621954 1874716
741271131 643907294 3548479
398938878 162694934 3137498
37604648 442149893 2415522
47694562 436524743 3604148
305066974 780052010 7845360
377039046 636895263 6242089
499405980 338837464 3980850
573600429 75766321 1091711
622844456 533952011 7066357
649137669 353797946 7594374
942300290 489087969 7610344
140364878 872350820 8328188
406526887 684440058 6379226
887625605 710968156 6214636
205201852 875297696 5561832
228186818 709323785 4294725
161036290 604957293 5637859
461911925 377753368 5038960
376308767 620671203 1330883
482405100 148491646 1274718
269411323 244363840 1286019
907528174 30598273 8071245
600780791 16803309 9090222
18017887 729897764 1768121
634081654 392144543 2818495
485418470 176688742 3257690
614334114 43760000 6166842
157429589 709872394 4301719
551996659 918867674 2581642
864253832 399741633 685286
363434507 376225525 1757143
142578820 324452738 581693
250578605 250154844 6745715
931645297 109066063 3799380
725701659 51823225 2968736
261880230 260536247 608820
173548710 662010586 3850284
791883415 614497665 2836359
444582754 914691189 5677598
124819214 394654409 4201340
224776064 172695974 48240
773682048 235055450 9292032
532074132 532749111 609657
947831196 110282870 6276640
993631373 528109079 1375880
987153282 203919950 132311
840675993 524219909 4255433
535468079 900557859 885080
257255037 345479107 828594
29063708 360165240 4712108
403066496 807360513 6319522
33275650 302649749 3028622
673528886 452898512 5360464
896751070 642603237 5583201
312719686 525565740 4156144
959974264 903813927 1784811
411793631 441817529 3118408
867776027 728091832 4867358
619859226 594284664 5298759
758329799 39447618 5168597
570039120 504048016 625107
865127689 286063007 7900940
979542766 96705125 3957480
669558591 336291619 199257
99386396 537576202 4810782
93688635 606496812 2259860
794596654 644598621 7347080
233919362 678717952 2419697
578505394 514642713 1263290
784545004 317746599 7816799
838653693 899121740 5241189
947703312 470361533 1466100
481533929 773973732 7959520
508303975 278900140 8561470
142285929 688164805 4353261
276971234 570337458 1771780
935357725 850807198 3267318
365273959 814251440 5609205
855238843 535219635 2495546
817105256 851330218 8259233
356509793 144011685 8104746
242716052 820263345 1057114
304257741 310298104 5021555
331883074 740755469 2990786
26864306 185500142 495753
841735099 246177711 6005481
686305938 598986986 5048107
363059128 295265789 3135352
184274882 896882012 7991024
658136949 538072808 9290848
461829768 781945670 1183296
939684468 795281795 3741550
368710177 356463599 9127111
264789507 647183854 1995406
788943953 694306875 7499635
385536370 335677638 6536772
330208788 665547152 6014057
694903505 629588037 3997646
401472318 478759883 2482977
847053602 60369597 6395361
861431994 573085465 9003483
627946293 828825272 8816769
85988949 848796175 4587452
276863696 520046508 5453228
563937662 515984193 2623761
117364264 511497369 7382667
854594440 638120947 7679187
92852222 266428368 9590066
48068860 291772400 1785767
706891980 903948951 687654
929185532 577227437 1835374
887263348 795556575 1978462
587456421 912615705 2053137
402819169 768212448 6842570
297281067 647229977 7388502
98421882 350632029 3862929
265974110 604883232 8246899
492546871 470855091 6435044
293785405 615884812 2471333
877295542 312807826 9368765
153951291 757468202 6420817
46455254 851915881 437038
173577495 769187526 3107855
283856090 850067635 2701102
118261030 468545333 3962419
496526156 542954517 6975621
870187499 158083578 3748932
487770708 614766297 2999063
68868407 211576452 6683971
380281550 830569973 6958876
985195937 806080538 5940239
547739936 766720526 6675075
49504714 494012285 3663057
560037447 811870415 8640629
117293717 432346967 1416138
172686776 27159489 495274
238799222 428781288 1779479
353948469 249763928 10287758
134058216 48655734 7204642
988846746 278399696 6614777
769273561 307507826 557958
34144311 614914464 2083302
420588727 122053617 6982269
289772059 133831587 6044600
42194927 205589530 6359578
737207035 662582922 1336988
177266208 460186779 1741667
177449328 99234562 1135589
455038944 760678595 5609295
152860013 214952964 6185540
827444647 645437088 9160484
956892844 287059395 4529431
565514990 114413411 4290000
700008656 536472409 5747499
76450321 154476033 4544919
532161422 766430646 1295411
423491024 795842044 8827077
511718311 302648816 7418355
192712235 238195030 2861289
452685264 532083232 8849761
745958901 601023520 352384
936470935 324098963 7704486
494782893 17769036 6524191
776352166 524032569 7303510
41605606 912167829 5865669
844134533 918855532 1966097
819070089 898802725 3315774
200189438 615405856 5028810
827030780 464129152 6841602
986797467 888972369 2950447
356455473 807458839 662535
904679202 617653752 4980922
728985031 647178541 2449477
362062545 166042832 671630
840106217 836963864 4770857
20822749 294424274 626476
335159295 833889345 8070818
138270324 650188357 630381
98466690 866365958 3448730
969765880 434873548 2652172
779873717 46414745 938655
504189482 873093501 6248135
532925658 809286691 6236827
229628594 28058632 5073639
829197138 261462948 1327519
547431475 458929999 2724343
767298307 256660441 1030134
717174379 289567041 2062223
410460628 601916781 8387600
286304764 353155227 7589186
662963995 606545537 5972989
362931150 18872857 136051
248240109 23628286 6006475
66499956 448319859 4179694
649290695 393519025 1332397
680825987 124775957 8873650
672255922 52524056 8330277
364482637 326467337 7588800
780877542 553629455 8229441
602628665 149994046 2315327
693859829 586382878 1867902
457458998 558875756 5213249
719935699 901238011 1009852
348532930 63366509 2821542
75043091 135745074 1851303
761738617 536974671 968146
450647302 900249223 1250678
323941071 509980933 3556964
227734813 604935804 504095
194754582 326938710 3988150
857448838 154924864 668871
323749862 752947411 4018186
936727260 910616217 4770898
496519550 698421844 86005
572084497 828393806 3354541
99720614 811783470 3265202
642055366 101640999 1993971
151593777 668377909 9444208
875340934 809246433 1260124
366079120 414963774 8972512
404315868 486658147 1863290
245241646 664602521 4001207
927447463 21348448 600383
461012861 893067688 382601
1630190 828836222 604908
113814237 695274316 1713705
941168447 451287061 7948390
520803749 110156900 2212291
12207455 518468876 6557765
370348727 694968244 8702316
174351624 30241571 397129
337672007 895515317 7263288
802680674 481854740 1993408
459478827 874864895 3134373
587356462 830988491 3374571
894309374 409755675 2166548
805630656 697247258 1357118
95429396 383380986 8889237
553673655 47844214 6970854
499536422 202271114 5069053
681403161 322651566 3133290
12118655 224393717 8017307
345912263 591671467 5600368
919214154 357611729 4554060
207067080 145916940 8075069
158638423 80290676 2179820
675407582 899821856 5897301
532432458 699058985 8392619
922314192 661263180 3361991
922501430 501982789 8027532
110049290 792761426 1154420
172022782 648554481 2754273
44917804 514722780 7451655
188442638 661113049 2825683
480968757 196454490 8448414
793742788 535949858 3687482
136399586 189108532 8855262
686178020 740650847 6298878
762570048 252770838 320923
634300861 903730564 1762664
480421823 883538224 2856324
543937097 149359782 195098
591533731 381717748 3395443
945194623 738249814 1891314
141821324 620708447 6077633
92041142 514093642 3972191
415950856 651545428 7740812
49315910 283950300 2016277
454461794 614341383 1436480
308603809 504443347 3559372
54927338 69188055 3131621
178691182 202356464 6420760
917975755 471471137 4383795
63902733 242329595 5968125
794497260 903338676 4942315
844290285 183647262 3022677
899880256 805252859 5300417
291146707 468482775 7026347
485966577 815561023 268097
223548134 889930663 235596
375063738 715827073 1995165
888982034 264527430 9857642
550633043 600293111 667892
819603306 698191529 6787402
921165772 747403342 2174230
794809595 856068325 1682592
156062517 154592939 1120902
16159954 432737950 7573154
898791815 845329248 5194417
756500427 886125153 6213851
197294116 562223498 1835290
949998640 917229390 2397645
852284706 754588677 1749298
561171379 380100462 9439646
511480775 235788790 7505366
91262569 724389885 6824856
614168403 207072026 4304171
841439344 586589463 6884835
848900544 314882771 697193
620615032 509706569 3675135
108798358 605032438 6475091
950594274 524889639 855102
264889522 17642577 4932850
428477602 415202738 4746828
513985794 82244221 2759295
371425079 390984956 7498463
684044994 918113416 2132398
107418513 181271017 8241733
363321954 121135320 2499921
526628008 546479356 6913760
607906048 260465887 8379721
969929204 461436687 1353449
954442768 242230474 5797300
826643533 111842211 5566262
853964115 853171098 5938475
331044938 220938998 5183987
361160216 917943935 4244105
576623273 900545132 5886815
730169790 172446444 7875710
578673448 607131268 3609999
544560372 216314593 6182680
796985521 520519843 2890019
100016562 634119138 7026078
548962933 587360750 4411383
913514180 189123615 5694864
585121104 423366170 991182
90302877 218625516 7336109
231810593 329557378 1263159
291924575 241043963 2988183
879921953 683235710 2599749
165050959 376616880 6711166
911010787 652666128 2881220
649235404 16651692 2969281
320171767 704848722 7772416
233799990 546386536 4982252
177663352 788067102 3703540
967358431 16575653 6650916
441486560 217607854 1920255
830934258 65398318 2682086
416158831 174382754 6144754
104420886 397321972 648825
669007575 209251869 9300356
87627533 455977714 3265698
447401195 221163448 2289673
195238655 61232966 2154513
455229815 510770519 3243732
432364700 163964297 3671096
717452134 272473492 2630142
581641521 220892716 7244747
816210211 245761079 4656156
783304067 886762508 1788476
167112057 160939401 5496703
811908995 882633682 6083696
722194447 734665789 2361111
759888533 55030621 1380324
690748934 191008646 5503869
130442537 778516557 131688
494752798 142040432 5839827
754028216 302025865 8744630
986306762 124162221 5779587
368540781 778386621 4405706
619299103 604494932 529743
168937220 589662041 741098
773372745 412539353 2096373
805744462 50959318 11801
582526764 40632699 571531
488551277 232389540 6501460
986949248 238981040 7602420
252686037 384883247 4197836
287066520 223836251 3689405
972413534 472599186 5045366
314671924 484937138 6836849
333857288 203710699 4667513
417135212 315728792 4276846
628711764 695975323 7970466
796089008 26088956 6708772
39547708 28104179 6844123
548339990 257561960 3030070
209589053 891530593 2708136
972533744 301074103 5732884
21305228 462931306 8303283
98001488 49999758 6995628
271606736 716977005 1514493
363414056 12627006 1748994
20075400 143306857 9123383
578215223 614862075 160484
492996559 728914107 7529446
325898163 117671720 6116180
593047653 490316099 6387980
470727536 520339650 4364941
318049231 231414075 1723502
964324814 602411024 3132752
224345532 628996444 2993635
404366303 887483488 6810744
677055248 20281429 5473721
807421049 751627075 5456686
441896233 117486928 6828542
521379647 208442700 8906776
268258265 847961800 1437477
596501446 221104019 689607
153277979 161741701 995261
972240321 370964547 6654998
173235726 865595596 8612914
578444109 718375821 831244
326864641 405406274 6578191
897907936 364777781 2932517
177028137 586277067 1916839
134382126 655672517 2392317
306153873 338965420 5053276
742217868 16632516 8374865
744256466 883611225 595042
523617252 860693464 2326473
226436491 355890582 8201717
45152399 588946741 4597864
790647498 802695556 5338958
170811360 577483185 679905
837557941 24118728 9109415
625284928 342374964 2824197
141837874 745207103 2377943
264332731 403479710 953105
582896537 344162947 708492
177088356 232670264 3849176
267639246 372290518 58268
75950282 33783112 7525217
432431414 375414345 8137920
393098115 796019602 2886878
671072716 567166520 3180367
174972319 886396877 526981
16791075 481598337 3930069
929095412 428979678 8766340
95631971 107662900 8730026
292766697 48752543 6515439
908359299 333348489 1450319
91219074 658248033 4828436
128821914 170682268 598086
810154317 215926270 1492340
185986438 47325698 1482829
149934045 911139594 3694891
844710087 215250794 5013373
171185335 542777858 4149481
950444820 57192380 7798839
761135731 140531934 8273878
222350299 78347682 4796235
256291917 651729214 2959939
36373993 286842206 2688534
705217981 919948831 489029
853261029 378053777 5851271
125676735 320808550 3396319
577639731 842317626 5288754
870837764 248855668 2337756
265710579 697423286 502349
32798260 242830466 7986562
364970039 204775487 5827101
783560616 8722117 5204733
720478724 849080881 9683748
522750826 615361606 1754436
866501308 220632752 10198154
86883893 312489045 617800
982554564 605965537 3055961
506483878 87049793 2470780
205941342 498008808 124327
792708603 140562099 1119783
166888628 357507173 2857910
687907010 891993524 43199
143302976 494910960 5889467
689728967 100588225 5551723
870518043 650440041 138059
247282864 53827599 4244596
300419199 33015025 1518382
738469747 418022785 10063862
297176084 829445623 7597832
283161372 750098686 5539066
503740207 705110516 3526852
912160467 772175071 5641124
816714705 341402940 2462422
223124652 113961618 5039555
260265177 804360193 5267817
784201228 247115608 77936
461463093 465478396 7589737
68405488 172256748 4315497
24194268 815760185 839066
271695357 578367398 2337714
948576625 723502308 6590324
858411945 248494884 3009251
773130056 476381766 7877280
299500405 155127535 1479285
112398827 388795449 3052670
254898204 696565786 4911867
890199146 84244657 1055544
273544387 255382337 2139214
733003391 797486376 3337763
309650945 605986850 4121854
714143691 71782465 7575316
772737837 9071589 1075388
867267352 789058805 2422005
222528068 689253689 6626090
928294499 238519624 5910828
267686192 680494989 6404094
462905257 131182262 5750022
825711035 617157184 4787589
549269135 624116044 3711528
507780947 606994643 8903466
382061665 190117784 1041905
408530711 75376648 12078029
341625603 309791269 4287848
942620648 511433066 2192857
719031045 112155960 5010864
216840510 264059623 5890350
748515215 911505651 6836372
531671251 266107561 8434410
630243751 208010262 603038
685868880 474579570 1958819
205965802 669330998 7722386
598535764 448705132 8997411
167489223 89094548 3379219
583379745 270238283 2868139
67114691 683839356 5352750
813167920 561352705 10392190
763000725 811056993 8167111
193667021 353746428 6328983
882140327 577771134 5667622
988080577 539663148 4097755
663260487 670302530 1768872
6209848 413586779 1457199
64684341 295941411 6011669
484908909 114338715 11012667
524370800 19637500 9097115
903929544 725420411 1675009
730657813 889282774 343282
54541098 760969230 3736000
452212913 24690884 4870008
534638668 235377027 6544840
215321144 525884492 3045739
197178739 49766034 3830723
955985086 212235586 5194675
767342161 682453989 4748243
276482301 539450105 2421597
829319098 424062174 3951604
365563356 895953402 6437323
941863638 167246952 6975771
754253054 324249971 4903788
537451713 828311550 1604299
180685229 243296584 441011
200573314 638318552 4627585
66662816 223003209 219649
350485499 739002411 6989506
268869698 858905347 6146117
66213802 58127856 3283263
670475299 877072690 5789310
958672688 815608856 2030490
767508867 351856750 4999918
167152803 263796058 1906106
390639310 264386504 5744851
933248183 681774105 7805184
182922420 599995868 5203262
774105095 620917823 2680317
714298323 913101319 4637959
758046017 171303333 7724038
642780419 322724019 8893174
762419457 79827074 2253160
558535261 898884283 3086916
327731791 679020850 2305570
199610905 125954829 3294320
747857126 245667260 4337193
337357774 381143044 2063157
103275456 569909526 8306322
933540488 27632998 362636
529652492 495901673 1718579
79800689 439515588 2640625
579852365 667822544 8509974
439923937 498429069 1258294
606930111 760906055 8693177
869095575 849656362 1374114
986455408 155808577 4873187
163090237 917355733 2070414
698342610 117146058 4055196
251055023 366704253 5804666
615595563 388846269 3507637
203565948 273938556 4509587
230135510 437101313 4999795
6135931 30574993 1321745
430333431 716513810 5007545
676103032 861815657 2596717
215978875 469913739 181023
671928481 721573428 7187137
642991389 54145180 5619880
9578214 749461315 2841104
218288772 53336523 8449952
134557824 585976689 12664904
987380509 454715532 4819423
700998388 826900182 3456322
911928465 762087730 33896
474626277 26808696 6866920
730690787 571376349 7189682
223362422 315218170 1647657
668548022 633930644 7967878
294227926 448869761 4349186
222413629 326306450 1506571
428405389 684498851 8100674
501729887 162052129 5396592
325702902 153224576 4804394
846623092 274273097 5310372
605128962 534784920 1921972
184622682 277538764 6572396
475908134 540760961 7483349
207589914 14382878 2671119
442183265 601656351 8139847
166704680 129218860 1719999
283909956 722388974 5647508
426511069 44061351 7012597
359893214 797025318 2491387
172076447 347009842 469303
373304248 736766230 5391033
80502414 699095505 5092688
179580627 413392070 5071539
50302893 630277730 3577110
718691704 595994703 8792627
362094221 759001065 1089813
750275478 658299579 909144
170285468 468169930 596054
137955265 701559301 1054950
467381192 787013206 1776802
205283347 588076524 8079786
101647344 701768569 5104251
148706960 857906635 765324
627683423 25590883 3340761
902666175 251346411 2553889
395850455 870556515 1876786
253741135 911268707 3511650
173284936 254026909 152433
132149667 332669360 2060552
130731133 422175487 7565775
793946228 190890564 4663389
69565215 747597500 5349697
476777843 213851364 976837
65646325 640010378 5387857
102971532 799135994 4121845
512522712 373884908 6004229
842236816 396091098 3509559
889503541 890715217 662954
581045012 552978202 5327
924732813 407546024 4719619
528946345 834507457 4025279
343961038 125595281 3533838
302614788 737340521 8912755
135216201 81518026 6860859
510223516 183949185 9336979
146463707 353394348 2919294
965187366 914394812 5053736
913498439 917104264 3135129
694350854 767771331 4845251
344525252 171299375 6550528
227418074 192379898 854603
78725468 882074084 6079526
377027167 260195653 2284624
568998001 204446256 4790968
851867205 727896789 146093
459078617 243360539 1741721
128753160 692324068 5136322
808614763 16863600 100871
965401497 94891451 3454005
187963841 142193569 2041933
380210368 295732276 5145268
391916832 47277442 7963667
424336334 103662380 5765557
784022426 678470488 2238094
665079025 664773184 1767203
627017322 445046923 6272167
44537942 606781772 6338745
214061569 301274780 9199822
58684558 12077879 2964664
809099740 814318363 7128150
740001060 830035942 5767484
244370738 350585129 2643564
738720122 345914081 355980
692200994 278499605 7292702
448214338 166544855 1984294
603343863 633019003 830606
232238189 202472916 807208
290441128 264930262 2186214
272905332 449898638 911159
175889957 629423172 9029020
804610637 618688205 6346375
309588789 915218370 2819780
597194307 519846610 1399220
643462995 677967561 8107759
118937941 106475204 65104
649157857 376280554 5228300
735394194 319784188 7555251
279572356 907956131 3951477
855562874 327158075 7780926
466689549 265777599 6756628
675417006 774354178 7413658
345943362 686054477 7710056
339047351 454450108 4600635
851492130 807264944 9366676
246158250 413561905 4983481
513343559 795596401 2403608
121392059 804524403 1951852
21955418 862682789 6835769
434933005 207927703 4310995
295524432 107699701 6509127
922406585 560877804 4748948
430717925 195306873 3472326
846978490 704157688 8653936
395913757 21851912 7540759
391923731 163585032 95102
887230260 13299821 2534254
975365619 583683081 5658606
834595196 870704122 679638
755219491 582080564 10362779
344232702 761459553 7088104
21455229 196296576 7939978
397180429 833232081 3924620
507308662 488090134 2212683
583055620 60553191 5583686
955751085 78205884 781295
208867048 475325705 1977572
440889536 400309922 4112662
274911997 553589674 7073522
917379696 897955081 8114356
953530531 692081909 938659
681284415 538922765 6154947
138293859 362434853 1559406
904034939 222624357 5925221
256905211 396955611 1600577
686903046 176308999 247112
895063477 594659411 7706551
662291399 416036262 370038
570080696 254456188 7457924
832037047 676822473 4610587
67641743 96161404 6770714
416147444 632398683 489595
382031169 597071244 9322819
315871961 821856797 5937601
637753585 852206019 3715672
425245384 617715779 3044718
780420914 376488385 6924843
680890924 236446894 5373365
410527344 364079410 3413111
196775682 843283237 2506851
711059395 812328296 6358424
159734770 426077007 6684160
739671252 714487605 5747704
103326611 233496254 4568747
435962135 19307123 5979888
549268157 599481591 151738
535950545 150979578 2434039
606318302 231421080 6038407
700532098 371185935 7076706
751735814 684206715 6065861
642535808 293973152 6499312
555247057 594711276 1521010
89545882 70289446 6662327
949869840 271308212 6687194
313659216 716015560 751268
950837255 401743635 6495570
419834283 553692074 7061513
771685963 182715101 1223296
595361348 583237348 4700636
462436853 45339889 7221230
654439436 481843696 1007498
121237524 339261423 2848263
197629535 106035349 4075839
918418494 124083862 5965956
643766474 511910668 3035963
321261150 258009458 4011944
371136168 102310143 1480010
217962185 863844017 2591260
52450207 302077858 178994
410219507 821879943 4182920
848552986 682371562 3475021
573137252 487685515 5995437
222195971 512635721 4953771
457199487 157646488 1759755
566038166 593575231 1491530
520291388 654624610 6880845
182529023 468479728 3957365
949268780 885648483 5985873
778355999 601942159 2033607
545336219 68528575 19212
240974049 127481310 1083296
246186615 226028795 8769584
958472699 34356298 1911228
524826633 531216734 1176902
721439043 147939785 5451876
505043665 31877983 718703
542803051 415289208 2329218
739154718 118525776 5829079
596498407 204180412 7405817
91550750 141615982 5488989
15627952 73132548 1873340
199042101 253888882 5060983
547512280 25677509 1203272
124318079 540772736 5579400
345582591 280457604 3939866
57873177 720449652 4839688
481776520 588531477 8362576
352954020 828304329 4087438
223706265 794351658 3155203
600658021 513449937 632660
605697521 158807737 2104893
972832010 111408377 311019
909805415 300497630 4402526
609550634 786515924 7441972
856921229 364727295 766623
122986801 488419888 5314925
943779315 560254780 2396601
983826037 386892413 4048265
404807872 574718957 8258927
238424247 511748341 4663842
309754139 255951008 572842
156367411 859567800 269728
113781599 207825594 9008351
559982212 552413786 926344
452008064 823171241 12070498
804965700 6002700 2866005
238491630 565206597 754232
584038017 784530395 5712840
978165997 645041076 2771715
474331768 704059938 8590661
510168296 821435777 646713
112567714 80848901 4017176
711484947 451648773 6571684
506032100 830306567 1224172
393820456 384874726 5893890
54562048 155880122 5946200
454254128 578098226 2748140
453744484 384335247 1795761
470638836 673808655 4244139
760906148 499131327 7554402
495091253 319867859 729122
300683764 668139672 4982891
652804709 907806423 7499663
544153393 793361692 3703847
197759627 794000285 8640577
489785738 281337291 1558990
539111125 435820768 8568378
442614399 253444187 908516
150761074 848323867 2598824
891162259 146053842 5599943
785840588 858563096 2028623
514589226 406365137 4959222
309322279 798216272 2433706
211462216 100802264 2119503
768833406 713346399 7199748
318820987 881867664 778243
274684368 788808284 2778282
426812698 251173236 7498497
251730672 479543405 8819557
975255363 261794688 6874381
864509461 548457382 7573586
424194957 583586484 3351618
38390954 104657258 8118806
361407536 556077099 8987818
243780322 198283435 3220465
528371194 377382490 1200607
174055982 143036849 5631183
799619462 729109991 5181770
912636386 541674326 3248802
779720391 588568836 6657641
11185352 781706715 4235566
864473330 529635506 4333802
480326023 648509370 4777488
183707804 587265746 303649
754985844 553980748 8189814
119390010 131194752 1810056
656315016 776835808 604827
711895494 337932097 9653368
984287354 413107447 1647711
954440976 426822076 6221581
987232579 500738754 3860952
419013322 347908667 2867386
186548002 115913824 138795
859296614 695586222 1211397
420126161 590893337 301081
24860918 505819586 2605152
653820556 762723762 661307
670205213 292197403 1241149
638263960 239056266 5521348
889378427 198597988 3048830
334696882 41355578 6085359
163942620 244299456 1930940
726325695 749763213 533017
946113220 308127938 3077480
279015983 232122157 2197140
668060131 310029266 3775994
508956513 317518791 2038253
8179929 16054363 612217
886742455 228724756 1060405
742331038 609840547 4063119
71889060 843186843 2095941
105036169 465129071 2676582
979065056 404474878 920976
948692534 352382980 5672310
946632170 374622591 4976064
224170777 149428750 2277734
331097122 605995897 1596038
380286712 851627134 4862242
740248431 206698064 4549794
641828536 182619424 9027020
643922380 886307200 3219938
156941466 467245669 6126911
966968987 349115073 4224210
207535210 465788217 3074262
804092580 457251563 5434255
26384468 702264603 295207
251058931 755736854 4001675
496203884 676776786 3981785
914650426 74276816 9153456
348215852 369464011 3016825
724124209 469795794 3015487
327192883 96920390 1765328
397511476 188627947 7711356
496753423 890513032 6278150
991629609 326123391 978892
920308690 777306459 268421
801037066 246219374 481996
351799676 619274084 9602534
473269370 239171273 4499011
342164286 497397397 2583289
545534350 719191710 5579439
621869898 851132550 5682573
963729630 157013006 5656082
526992446 117132046 863448
509818029 687848123 7363754
842014357 883484344 3822139
292912163 539774063 5399215
648463744 732648720 326984
760367766 430988624 3705088
904888881 373960783 256909
968952294 134129132 6805262
112163195 340866855 969618
995344348 360065769 1841400
270468382 51181583 5252524
220933975 162713697 4444455
320202518 446267178 7697204
707583074 492510429 7533543
756886456 458018637 7527089
568708643 878116201 5391155
955282982 525574489 2106006
609054469 182804626 6710032
983838324 904312223 3141170
782004370 123976991 8804530
309626994 852507232 8586221
377290329 129765643 1265311
240199352 702817805 3505207
589853028 884355848 4000334
535162579 379731099 1678000
814543603 151857926 1342035
771218431 422528014 3002722
727985475 548171922 6979380
378451629 10942673 5300671
275283693 651108372 2054604
789712901 215264162 5199803
797599831 374558314 4572040
934164178 614638975 9071020
64884643 120171838 7308648
630763779 764261634 7845100
599245623 503508373 2235648
450122830 861952074 4226087
518297895 116618017 1926999
871449976 91321499 6439288
983776909 840254796 3983828
891067443 439847794 6415739
7832911 572277092 1763467
79850082 568594808 5545264
166430420 396453587 4304245
734789466 89058887 7293886
7979500 552015632 2766761
887971541 534031512 8560210
